bfs_number,bfs_name,pop,pop_dens,frg_pct,emp,tax_income,latitude,longitude
1,Aeugst am Albis,1981,250.4424778761,14.1847551742,442.0,108'788,47.274959564208984,8.490504264831543
2,Affoltern am Albis,12303,1161.7563739377,28.7003169959,6920.0,72'583,47.28192138671875,8.448750495910645
3,Bonstetten,5572,749.932705249,16.5649676956,1014.0,91'002,47.316070556640625,8.46247673034668
4,Hausen am Albis,3751,275.8088235294,16.0223940283,1021.0,91'766,47.24544906616211,8.53345775604248
5,Hedingen,3778,578.5604900459,16.4107993647,1478.0,94'456,47.30222702026367,8.450304985046387
6,Kappel am Albis,1221,154.1666666667,17.5266175266,319.0,102'670,47.22494888305664,8.516975402832031
7,Knonau,2378,367.542503864,18.2926829268,566.0,84'568,47.22664260864258,8.459200859069824
8,Maschwanden,645,137.526652452,12.8682170543,175.0,72'226,47.235191345214844,8.429161071777344
9,Mettmenstetten,5200,399.07904835,14.7692307692,1680.0,93'140,47.24346160888672,8.460609436035156
10,Obfelden,5721,758.7533156499,21.4647788848,1252.0,78'384,47.26207733154297,8.41908073425293
11,Ottenbach,2588,515.5378486056,13.1375579598,683.0,87'757,47.2806282043457,8.40972900390625
12,Rifferswil,1129,173.425499232,10.71744907,250.0,92'269,47.24550247192383,8.49488639831543
13,Stallikon,3755,312.3960066556,22.2902796272,775.0,99'185,47.320072174072266,8.493558883666992
14,Wettswil am Albis,5240,1389.9204244032,17.1183206107,1302.0,121'965,47.336490631103516,8.471524238586426
21,Adlikon,698,106.0790273556,10.6017191977,149.0,75'596,47.45135498046875,8.466011047363281
22,Benken (ZH),845,149.2932862191,12.7810650888,249.0,82'506,47.653656005859375,8.65466022491455
23,Berg am Irchel,577,82.3109843081,8.8388214905,137.0,110'218,47.560455322265625,8.593571662902832
24,Buch am Irchel,979,95.8863858962,7.2522982635,200.0,85'199,47.54690170288086,8.627263069152832
25,Dachsen,1916,709.6296296296,13.3089770355,455.0,81'505,47.6599006652832,8.625883102416992
26,Dorf,658,118.345323741,9.8784194529,129.0,83'258,47.57259750366211,8.650232315063477
27,Feuerthalen,3614,1457.2580645161,22.4958494743,1165.0,76'356,47.68606185913086,8.649209976196289
28,Flaach,1420,139.6263520157,15.4225352113,809.0,74'391,47.583412170410156,8.601944923400879
29,Flurlingen,1477,612.8630705394,14.2180094787,,92'689,47.68342590332031,8.635716438293457
30,Andelfingen,2247,333.3827893175,13.3511348465,1551.0,88'960,47.58490753173828,8.690178871154785
